id_post;Hora;Canal;Formato;Alcance;Interacciones;Reproducciones;Duracion_video;DM;Retencion;Visitas_perfil;Link_bio;Visitas_producto;Carrito;Compras;Valor_compra;Contacto;Inversion;ROI;Engagement;CPC;Unnamed: 23;Ruta;Fecha;Imagen
POST_100;22:26:14;Facebook;Carrusel;16065;3845;Sin datos;Sin datos;30;Sin datos;418;16;98;2;8;262.61;0;412.21;1.89;84.0;0.21;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_100.jpg;2025-05-24;IMG_100.jpg
POST_13;17:06:00;TikTok;Carrusel;21416;632;Sin datos;Sin datos;56;Sin datos;377;4;89;2;19;348.01;9;421.06;1.08;144.0;0.67;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_13.jpg;2025-06-10;IMG_13.jpg
POST_30;21:35:09;TikTok;Imagen;10390;462;Sin datos;Sin datos;60;Sin datos;172;37;92;33;17;349.48;6;0.0;3.54;58.0;0.53;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_30.jpg;2025-04-15;IMG_30.jpg
POST_64;17:03:12;TikTok;Carrusel;37454;2594;Sin datos;Sin datos;12;Sin datos;248;24;118;43;20;456.67;8;754.26;0.82;31.0;1.97;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_64.jpg;2025-02-16;IMG_64.jpg
POST_102;10:29:50;Facebook;Reel;40069;3286;2520;266;32;0.79;90;37;65;5;8;475.91;2;0.0;4.32;16.0;0.1;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_102.jpg;2025-03-23;IMG_102.jpg
POST_82;12:19:07;Instagram;Imagen;2325;3093;Sin datos;Sin datos;5;Sin datos;232;0;71;42;7;300.58;3;0.0;1.57;0.11;0.23;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_82.jpg;2025-07-07;IMG_82.jpg
POST_52;04:36:08;Twitter;Imagen;10731;2321;Sin datos;Sin datos;4;Sin datos;339;43;168;48;14;77.31;2;819.82;2.88;115.0;1.33;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_52.jpg;2025-07-15;IMG_52.jpg
POST_74;23:49:59;Instagram;Reel;22912;126;646;104;12;0.61;375;10;99;5;4;170.36;0;202.5;1.74;137.0;0.7;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_74.jpg;2025-07-28;IMG_74.jpg
POST_199;21:03:37;Facebook;Carrusel;9161;4802;Sin datos;Sin datos;4;Sin datos;292;39;170;9;5;248.01;8;0.0;2.65;37.0;0.83;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_199.jpg;2024-12-12;IMG_199.jpg
POST_57;20:18:06;Twitter;Imagen;27697;3764;Sin datos;Sin datos;24;Sin datos;295;32;47;18;14;70.09;8;113.74;3.71;42.0;1.85;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_57.jpg;2025-07-01;IMG_57.jpg
POST_140;08:45:14;Instagram;Reel;48347;1964;7677;16;31;0.85;49;32;139;12;11;337.43;2;155.7;1.34;71.0;1.24;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_140.jpg;2025-06-05;IMG_140.jpg
POST_144;03:38:57;TikTok;Carrusel;34351;1954;Sin datos;Sin datos;86;Sin datos;195;41;102;15;20;492.94;2;606.44;4.12;142.0;1.31;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_144.jpg;2025-02-24;IMG_144.jpg
POST_57;06:55:35;Instagram;Reel;3048;835;6645;278;29;0.34;228;49;142;28;18;466.41;6;784.43;3.76;23.0;0.57;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_57.jpg;2025-07-01;IMG_57.jpg
POST_14;09:25:05;TikTok;Carrusel;26450;4063;Sin datos;Sin datos;63;Sin datos;194;9;187;30;13;323.25;8;0.0;2.31;16.0;1.49;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_14.jpg;2025-03-07;IMG_14.jpg
POST_27;20:55:28;Facebook;Imagen;30042;4236;Sin datos;Sin datos;30;Sin datos;474;26;167;15;9;412.51;4;908.07;4.89;64.0;1.72;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_27.jpg;2025-04-19;IMG_27.jpg
POST_17;16:40:17;TikTok;Carrusel;39823;2287;Sin datos;Sin datos;74;Sin datos;274;50;76;4;20;49.88;1;762.78;2.11;141.0;0.87;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_17.jpg;2024-08-30;IMG_17.jpg
POST_143;16:02:12;Instagram;Reel;49854;4054;3923;82;75;0.31;215;24;27;26;9;299.12;4;502.96;1.76;97.0;0.57;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_143.jpg;2024-12-28;IMG_143.jpg
POST_100;20:13:24;TikTok;Carrusel;44551;4557;Sin datos;Sin datos;11;Sin datos;477;12;141;14;14;237.98;4;0.0;4.55;36.0;0.5;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_100.jpg;2025-05-24;IMG_100.jpg
POST_174;05:23:00;Facebook;Reel;20704;1665;3679;280;60;0.62;314;5;197;47;5;113.25;1;0.0;1.62;17.0;1.38;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_174.jpg;2025-01-27;IMG_174.jpg
POST_23;06:23:45;Twitter;Reel;26260;968;9427;179;38;0.81;14;41;167;25;18;442.13;1;0.0;3.24;119.0;0.4;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_23.jpg;2025-06-01;IMG_23.jpg
POST_102;08:48:20;TikTok;Carrusel;45943;521;Sin datos;Sin datos;89;Sin datos;74;15;184;46;13;147.57;7;283.54;3.36;133.0;0.12;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_102.jpg;2025-03-23;IMG_102.jpg
POST_168;06:04:09;Twitter;Reel;29627;4842;9203;144;32;0.76;430;27;134;10;6;61.65;2;659.12;0.52;24.0;1.15;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_168.jpg;2024-09-02;IMG_168.jpg
POST_115;17:39:53;Facebook;Imagen;45652;2560;Sin datos;Sin datos;1;Sin datos;469;46;178;15;13;485.91;4;388.52;4.26;11.0;1.6;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_115.jpg;2024-09-23;IMG_115.jpg
POST_85;00:29:45;Facebook;Reel;24280;3567;7214;28;6;0.14;447;33;72;6;3;314.51;3;356.5;3.02;101.0;1.86;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_85.jpg;2024-12-19;IMG_85.jpg
POST_106;09:52:46;Instagram;Carrusel;19885;911;Sin datos;Sin datos;52;Sin datos;488;18;6;3;5;469.85;8;936.94;2.11;42.0;0.92;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_106.jpg;2025-07-04;IMG_106.jpg
POST_194;02:47:04;TikTok;Carrusel;18013;1184;Sin datos;Sin datos;82;Sin datos;133;24;164;31;5;297.49;7;533.13;3.01;126.0;1.63;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_194.jpg;2025-07-05;IMG_194.jpg
POST_138;09:04:31;Facebook;Imagen;25825;3321;Sin datos;Sin datos;35;Sin datos;285;37;109;27;5;29.97;5;0.0;3.25;114.0;1.16;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_138.jpg;2025-04-12;IMG_138.jpg
